Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
451	9	La4	A4	305	305	1	16	208	95	96		55.312500
452	9	Do5	C5	318	318	1	16	208	95	96		55.375000
453	9	Si4b2	B4b1	312	313	1	16	208	95	96		55.437500
454	11	La4	A4	305	305	1	16	208	95	96		55.500000
455	9	La4	A4	305	305	1	2	1667	95	96		56.000000
456	53			0	0	0	0	0	0	0		56.000000
457	9	Es	Es	-1	-1	1	8	417	100	0	3. HANE	56.125000
458	9	Do6	C6	371	371	1	8	417	95	96		56.250000
459	9	Si5b2	B5b1	365	366	1	8	417	95	96		56.375000
460	9	La5	A5	358	358	1	8	417	95	96		56.500000
461	9	Sol5	G5	349	349	1	16	208	95	96		56.562500
462	9	Fa5#3	F5#4	343	344	1	16	208	95	96		56.625000
463	9	Mi5	E5	336	336	1	8	417	95	96		56.750000
464	9	Fa5#3	F5#4	343	344	1	8	417	95	96		56.875000
465	9	Sol5	G5	349	349	1	8	417	95	96		57.000000
466	9	Fa5#3	F5#4	343	344	1	8	417	95	96		57.125000
467	9	Sol5	G5	349	349	1	8	417	95	96		57.250000
468	9	La5	A5	358	358	1	8	417	95	96		57.375000
469	9	Si5b2	B5b1	365	366	1	8	417	95	96		57.500000
470	9	Sol5	G5	349	349	1	4	833	95	96		57.750000
471	9	La5	A5	358	358	1	4	833	95	96		58.000000
472	9	Re5	D5	327	327	1	4	833	95	96		58.250000
473	9	La5	A5	358	358	3	16	625	95	96		58.437500
474	9	Sol5	G5	349	349	1	16	208	95	96		58.500000
475	9	La5	A5	358	358	1	2	1667	95	96		59.000000
476	53			0	0	0	0	0	0	0		59.000000
477	9	Si5b5	B5b5	362	362	3	16	625	95	96		59.187500
478	9	La5	A5	358	358	1	16	208	95	96		59.250000
479	9	Sol5	G5	349	349	1	8	417	95	96		59.375000
480	9	La5	A5	358	358	1	8	417	95	96		59.500000
481	9	Sol5	G5	349	349	1	8	417	95	96		59.625000
482	9	La5	A5	358	358	1	8	417	95	96		59.750000
483	9	Sol5	G5	349	349	1	8	417	95	96		59.875000
484	9	Fa5	F5	340	340	1	8	417	95	96		60.000000
485	9	Es	Es	-1	-1	1	8	417	100	0		60.125000
486	9	Si5b5	B5b5	362	362	1	8	417	95	96		60.250000
487	9	La5	A5	358	358	1	8	417	95	96		60.375000
488	9	Sol5	G5	349	349	1	8	417	95	96		60.500000
489	9	Fa5	F5	340	340	3	16	625	95	96		60.687500
490	9	Mi5	E5	336	336	1	16	208	95	96		60.750000
491	9	Mi5	E5	336	336	1	16	208	95	96		60.812500
492	9	Re5	D5	327	327	1	16	208	95	96		60.875000
493	9	Re5	D5	327	327	1	16	208	95	96		60.937500
494	9	Do5#4	C5#4	322	322	1	16	208	95	96		61.000000
495	9	Re5	D5	327	327	1	4	833	95	96		61.250000
496	53			0	0	0	0	0	0	0		61.250000
497	9	Mi5	E5	336	336	1	8	417	95	96		61.375000
498	9	Fa5	F5	340	340	1	8	417	95	96		61.500000
499	9	Sol5	G5	349	349	1	8	417	95	96		61.625000
500	9	Si5b5	B5b5	362	362	1	8	417	95	96		61.750000
501	9	La5	A5	358	358	1	8	417	95	96		61.875000
502	9	Sol5	G5	349	349	1	8	417	95	96		62.000000
503	54			0	0	0	0	0	0	0	hicaz-zirgule@la5	62.000000
504	9	Fa5	F5	340	340	1	8	417	95	96		62.125000
505	9	Mi5	E5	336	336	1	8	417	95	96		62.250000
506	9	Re5	D5	327	327	1	8	417	95	96		62.375000
507	9	Do6#4	C6#4	375	375	1	8	417	95	96		62.500000
508	9	Si5b4	B5b4	363	363	3	16	625	95	96		62.687500
509	9	La5	A5	358	358	1	16	208	95	96		62.750000
510	9	Sol5#4	G5#4	353	353	1	8	417	95	96		62.875000
511	9	La5	A5	358	358	1	8	417	95	96		63.000000
512	9	Sol5#4	G5#4	353	353	1	8	417	95	96		63.125000
513	9	La5	A5	358	358	1	8	417	95	96		63.250000
514	9	Si5b4	B5b4	363	363	1	16	208	95	96		63.312500
515	9	Do6#4	C6#4	375	375	1	16	208	95	96		63.375000
516	9	Si5b4	B5b4	363	363	1	16	208	95	96		63.437500
517	11	La5	A5	358	358	1	16	208	95	96		63.500000
518	9	La5	A5	358	358	1	2	1667	95	96		64.000000
519	55			0	0	0	0	0	0	0		64.000000
520	53			0	0	0	0	0	0	0		64.000000
521	9	Do6#4	C6#4	375	375	1	8	417	95	96		64.125000
522	9	Re6	D6	380	380	1	4	833	95	96		64.375000
523	9	Do6#4	C6#4	375	375	1	16	208	95	96		64.437500
524	9	Si5b4	B5b4	363	363	1	16	208	95	96		64.500000
525	9	Si5b4	B5b4	363	363	3	16	625	95	96		64.687500
526	9	La5	A5	358	358	1	16	208	95	96		64.750000
527	9	Do6#4	C6#4	375	375	1	8	417	95	96		64.875000
528	9	Si5b4	B5b4	363	363	1	16	208	95	96		64.937500
529	9	La5	A5	358	358	1	16	208	95	96		65.000000
530	9	La5	A5	358	358	3	16	625	95	96		65.187500
531	9	Sol5	G5	349	349	1	16	208	95	96		65.250000
532	9	Si5b5	B5b5	362	362	1	8	417	95	96		65.375000
533	9	La5	A5	358	358	1	16	208	95	96		65.437500
534	9	Sol5	G5	349	349	1	16	208	95	96		65.500000
535	9	Sol5	G5	349	349	3	16	625	95	96		65.687500
536	9	Fa5	F5	340	340	1	16	208	95	96		65.750000
537	9	La5	A5	358	358	1	8	417	95	96		65.875000
538	9	Sol5	G5	349	349	1	16	208	95	96		65.937500
539	9	Fa5	F5	340	340	1	16	208	95	96		66.000000
540	9	Fa5	F5	340	340	1	4	833	95	96		66.250000
541	53			0	0	0	0	0	0	0		66.250000
542	9	Mi5	E5	336	336	1	8	417	95	96		66.375000
543	9	Fa5	F5	340	340	1	8	417	95	96		66.500000
544	9	Sol5	G5	349	349	1	8	417	95	96		66.625000
545	9	La5b4	A5b4	354	354	1	8	417	95	96		66.750000
546	9	Sol5	G5	349	349	1	8	417	95	96		66.875000
547	9	Fa5	F5	340	340	1	8	417	95	96		67.000000
548	9	Sol5	G5	349	349	1	8	417	95	96		67.125000
549	9	Fa5	F5	340	340	1	8	417	95	96		67.250000
550	9	Do6	C6	371	371	1	16	208	95	96		67.312500
551	9	Si5b1	B5b1	366	366	1	16	208	95	96		67.375000
552	9	La5b4	A5b4	354	354	1	16	208	95	96		67.437500
553	9	Sol5	G5	349	349	1	16	208	95	96		67.500000
554	9	Fa5	F5	340	340	1	8	417	95	96		67.625000
555	9	Mi5	E5	336	336	1	8	417	95	96		67.750000
556	9	La5	A5	358	358	1	16	208	95	96		67.812500
557	9	Sol5	G5	349	349	1	16	208	95	96		67.875000
558	9	Fa5	F5	340	340	1	16	208	95	96		67.937500
559	9	Mi5	E5	336	336	1	16	208	95	96		68.000000
560	9	Re5	D5	327	327	1	8	417	95	96		68.125000
561	9	Do5#4	C5#4	322	322	1	8	417	95	96		68.250000
562	9	Re5	D5	327	327	1	8	417	95	96		68.375000
563	9	Mi5	E5	336	336	1	8	417	95	96		68.500000
564	9	Re5	D5	327	327	1	8	417	95	96		68.625000
565	9	Mi5	E5	336	336	3	8	1250	95	96		69.000000
566	53			0	0	0	0	0	0	0		69.000000
567	9	Fa5#3	F5#4	343	344	1	8	417	95	96		69.125000
568	9	Sol5	G5	349	349	3	8	1250	95	96		69.500000
569	9	Sol5	G5	349	349	1	16	208	95	96		69.562500
570	9	Si5b5	B5b5	362	362	1	16	208	95	96		69.625000
571	9	La5	A5	358	358	1	16	208	95	96		69.687500
572	9	Sol5	G5	349	349	1	16	208	95	96		69.750000
573	9	Fa5	F5	340	340	1	16	208	95	96		69.812500
574	9	Mi5	E5	336	336	1	16	208	95	96		69.875000
575	9	Re5	D5	327	327	1	8	417	95	96		70.000000
576	53			0	0	0	0	0	0	0		70.000000
577	9	Mi5	E5	336	336	1	8	417	95	96		70.125000
578	9	Fa5	F5	340	340	3	8	1250	95	96		70.500000
579	9	Fa5	F5	340	340	1	16	208	95	96		70.562500
580	9	La5	A5	358	358	1	16	208	95	96		70.625000
581	9	Sol5	G5	349	349	1	16	208	95	96		70.687500
582	9	Fa5	F5	340	340	1	16	208	95	96		70.750000
583	9	Mi5	E5	336	336	1	16	208	95	96		70.812500
584	9	Re5	D5	327	327	1	16	208	95	96		70.875000
585	9	Do5	C5	318	318	1	8	417	95	96		71.000000
586	9	Sol5	G5	349	349	1	8	417	95	96		71.125000
587	9	Fa5	F5	340	340	1	8	417	95	96		71.250000
588	9	Mi5	E5	336	336	1	8	417	95	96		71.375000
589	9	Re5	D5	327	327	1	8	417	95	96		71.500000
590	9	Do5	C5	318	318	3	16	625	95	96		71.687500
591	9	Si4b2	B4b1	312	313	1	16	208	95	96		71.750000
592	9	La4	A4	305	305	1	8	417	95	96		71.875000
593	9	Si4b2	B4b1	312	313	1	8	417	95	96		72.000000
594	9	Do5	C5	318	318	1	8	417	95	96		72.125000
595	9	Re5	D5	327	327	1	8	417	95	96		72.250000
596	9	Do5	C5	318	318	1	8	417	95	96		72.375000
597	9	Si4b2	B4b1	312	313	1	8	417	95	96		72.500000
598	9	Do5	C5	318	318	1	4	833	95	96		72.750000
599	9	Re5	D5	327	327	1	4	833	95	96		73.000000
600	53			0	0	0	0	0	0	0		73.000000
601	9	Es	Es	-1	-1	1	4	833	100	0		73.250000
602	9	Mi5	E5	336	336	1	8	417	95	96		73.375000
603	9	Fa5#3	F5#4	343	344	1	8	417	95	96		73.500000
604	9	Sol5	G5	349	349	1	8	417	95	96		73.625000
605	9	Fa5#3	F5#4	343	344	1	8	417	95	96		73.750000
606	9	La5	A5	358	358	1	8	417	95	96		73.875000
607	9	Sol5	G5	349	349	1	8	417	95	96		74.000000
608	9	Fa5	F5	340	340	3	16	625	95	96		74.187500
609	9	Mi5	E5	336	336	1	16	208	95	96		74.250000
610	9	Re5	D5	327	327	1	8	417	95	96		74.375000
611	9	Mi5	E5	336	336	1	8	417	95	96		74.500000
612	9	Re5	D5	327	327	3	16	625	95	96		74.687500
613	9	Do5	C5	318	318	1	16	208	95	96		74.750000
614	9	Re5	D5	327	327	1	8	417	95	96		74.875000
615	9	Sol5	G5	349	349	1	8	417	95	96		75.000000
616	53			0	0	0	0	0	0	0		75.000000
617	9	Es	Es	-1	-1	1	8	417	100	0		75.125000
618	9	Fa5#3	F5#4	343	344	1	4	833	95	96		75.375000
619	9	Re5	D5	327	327	1	8	417	95	96		75.500000
620	9	Mi5	E5	336	336	1	8	417	95	96		75.625000
621	9	Fa5	F5	340	340	1	8	417	95	96		75.750000
622	9	Mi5	E5	336	336	1	8	417	95	96		75.875000
623	9	Re5	D5	327	327	1	8	417	95	96		76.000000
624	9	Do5#4	C5#4	322	322	1	4	833	95	96		76.250000
625	9	Fa5	F5	340	340	1	16	208	95	96		76.312500
626	9	Mi5	E5	336	336	1	16	208	95	96		76.375000
627	9	Re5	D5	327	327	1	16	208	95	96		76.437500
628	9	Mi5	E5	336	336	1	16	208	95	96		76.500000
629	9	Re5	D5	327	327	3	8	1250	95	96		76.875000
630	9	Es	Es	-1	-1	1	8	417	100	0		77.000000
631	53			0	0	0	0	0	0	0		77.000000
632	9	La5	A5	358	358	1	16	208	95	96	TESLİM	77.062500
633	9	Si5b2	B5b1	365	366	1	16	208	95	96		77.125000
634	9	Do6	C6	371	371	1	4	833	95	96		77.375000
635	9	Si5b2	B5b1	365	366	1	16	208	95	96		77.437500
636	9	La5	A5	358	358	1	16	208	95	96		77.500000
637	9	La5	A5	358	358	3	16	625	95	96		77.687500
638	9	Sol5	G5	349	349	1	16	208	95	96		77.750000
639	9	Fa5	F5	340	340	1	16	208	95	96		77.812500
640	9	Mi5	E5	336	336	1	16	208	95	96		77.875000
641	9	Fa5	F5	340	340	1	8	417	95	96		78.000000
642	53			0	0	0	0	0	0	0		78.000000
643	9	Mi5	E5	336	336	1	16	208	95	96		78.062500
644	9	Fa5	F5	340	340	1	16	208	95	96		78.125000
645	9	Sol5	G5	349	349	1	4	833	95	96		78.375000
646	9	La5	A5	358	358	1	8	417	95	96		78.500000
647	9	Sol5	G5	349	349	1	8	417	95	96		78.625000
648	9	Fa5	F5	340	340	1	8	417	95	96		78.750000
649	9	Mi5	E5	336	336	1	8	417	95	96		78.875000
650	9	Re5	D5	327	327	1	8	417	95	96		79.000000
651	53			0	0	0	0	0	0	0		79.000000
652	9	Do5	C5	318	318	1	8	417	95	96		79.125000
653	9	Re5	D5	327	327	1	4	833	95	96		79.375000
654	9	Mi5	E5	336	336	1	8	417	95	96		79.500000
655	9	Re5	D5	327	327	1	8	417	95	96		79.625000
656	9	Mi5	E5	336	336	1	8	417	95	96		79.750000
657	9	Re5	D5	327	327	1	8	417	95	96		79.875000
658	9	Do5	C5	318	318	1	8	417	95	96		80.000000
659	9	Sol5	G5	349	349	1	8	417	95	96		80.125000
660	9	Fa5	F5	340	340	1	8	417	95	96		80.250000
661	9	Mi5	E5	336	336	1	8	417	95	96		80.375000
662	9	Re5	D5	327	327	1	8	417	95	96		80.500000
663	9	Re5	D5	327	327	1	16	208	95	96		80.562500
664	9	Do5	C5	318	318	1	16	208	95	96		80.625000
665	9	Do5	C5	318	318	1	16	208	95	96		80.687500
666	9	Si4b2	B4b1	312	313	1	16	208	95	96		80.750000
667	9	Do5	C5	318	318	1	4	833	95	96		81.000000
668	53			0	0	0	0	0	0	0		81.000000
669	9	Sol4	G4	296	296	1	8	417	95	96		81.125000
670	9	Do5	C5	318	318	1	4	833	95	96		81.375000
671	9	Re5	D5	327	327	1	8	417	95	96		81.500000
672	9	Mi5	E5	336	336	1	2	1667	95	96		82.000000
673	53			0	0	0	0	0	0	0		82.000000
674	9	Re5	D5	327	327	3	16	625	95	96		82.187500
675	9	Mi5	E5	336	336	1	16	208	95	96		82.250000
676	9	Fa5	F5	340	340	1	8	417	95	96		82.375000
677	9	Sol5	G5	349	349	1	8	417	95	96		82.500000
678	9	Mi5	E5	336	336	1	8	417	95	96		82.625000
679	9	Fa5	F5	340	340	1	8	417	95	96		82.750000
680	9	Re5	D5	327	327	1	8	417	95	96		82.875000
681	9	Mi5	E5	336	336	1	8	417	95	96		83.000000
682	9	Do5	C5	318	318	1	8	417	95	96		83.125000
683	9	Re5	D5	327	327	1	8	417	95	96		83.250000
684	9	Do5	C5	318	318	1	8	417	95	96		83.375000
685	9	Si4b2	B4b1	312	313	1	8	417	95	96		83.500000
686	9	Do5	C5	318	318	3	16	625	95	96		83.687500
687	9	Si4b2	B4b1	312	313	1	16	208	95	96		83.750000
688	9	La4	A4	305	305	1	4	833	95	96		84.000000
689	53			0	0	0	0	0	0	0		84.000000
690	9	Mi5	E5	336	336	1	16	208	95	96		84.062500
691	9	Fa5	F5	340	340	1	16	208	95	96		84.125000
692	9	Mi5	E5	336	336	1	16	208	95	96		84.187500
693	9	Fa5	F5	340	340	1	16	208	95	96		84.250000
694	9	La5	A5	358	358	1	16	208	95	96		84.312500
695	9	Sol5	G5	349	349	1	16	208	95	96		84.375000
696	9	Fa5	F5	340	340	1	16	208	95	96		84.437500
697	9	Mi5	E5	336	336	1	16	208	95	96		84.500000
698	9	Re5	D5	327	327	1	4	833	95	96		84.750000
699	9	Es	Es	-1	-1	1	4	833	100	0		85.000000
700	53			0	0	0	0	0	0	0		85.000000
701	9	Do5	C5	318	318	3	16	625	95	96		85.187500
702	9	Re5	D5	327	327	1	16	208	95	96		85.250000
703	9	Mi5	E5	336	336	1	4	833	95	96		85.500000
704	9	Re5	D5	327	327	1	16	208	95	96		85.562500
705	9	Mi5	E5	336	336	1	16	208	95	96		85.625000
706	9	Re5	D5	327	327	1	16	208	95	96		85.687500
707	9	Mi5	E5	336	336	1	16	208	95	96		85.750000
708	9	Sol5	G5	349	349	1	16	208	95	96		85.812500
709	9	Fa5	F5	340	340	1	16	208	95	96		85.875000
710	9	Mi5	E5	336	336	1	16	208	95	96		85.937500
711	9	Re5	D5	327	327	1	16	208	95	96		86.000000
712	9	Do5	C5	318	318	1	4	833	95	96		86.250000
713	9	Es	Es	-1	-1	1	4	833	100	0		86.500000
714	53			0	0	0	0	0	0	0		86.500000
715	9	Si4b2	B4b1	312	313	3	16	625	95	96		86.687500
716	9	Do5	C5	318	318	1	16	208	95	96		86.750000
717	9	Re5	D5	327	327	1	4	833	95	96		87.000000
718	9	Do5	C5	318	318	3	16	625	95	96		87.187500
719	9	Re5	D5	327	327	1	16	208	95	96		87.250000
720	9	Mi5	E5	336	336	1	8	417	95	96		87.375000
721	9	Re5	D5	327	327	1	16	208	95	96		87.437500
722	9	Do5	C5	318	318	1	16	208	95	96		87.500000
723	9	Si4b2	B4b1	312	313	1	8	417	95	96		87.625000
724	9	Do5	C5	318	318	1	8	417	95	96		87.750000
725	9	Re5	D5	327	327	1	8	417	95	96		87.875000
726	9	Do5	C5	318	318	1	16	208	95	96		87.937500
727	9	Si4b2	B4b1	312	313	1	16	208	95	96		88.000000
728	9	La4	A4	305	305	1	8	417	95	96		88.125000
729	9	Si4b2	B4b1	312	313	1	8	417	95	96		88.250000
730	9	Re5	D5	327	327	1	16	208	95	96		88.312500
731	9	Do5	C5	318	318	1	16	208	95	96		88.375000
732	9	Si4b2	B4b1	312	313	1	16	208	95	96		88.437500
733	9	La4	A4	305	305	1	16	208	95	96		88.500000
734	9	Sol4	G4	296	296	1	8	417	95	96		88.625000
735	9	La4	A4	305	305	1	8	417	95	96		88.750000
736	9	Si4b2	B4b1	312	313	1	8	417	95	96		88.875000
737	9	Do5	C5	318	318	1	8	417	95	96		89.000000
738	9	Re5	D5	327	327	3	16	625	95	96		89.187500
739	9	Do5	C5	318	318	1	16	208	95	96		89.250000
740	9	Si4b2	B4b1	312	313	1	8	417	95	96		89.375000
741	9	Do5	C5	318	318	1	8	417	95	96		89.500000
742	9	Si4b2	B4b1	312	313	1	4	833	95	96		89.750000
743	9	La4	A4	305	305	1	4	833	95	96		90.000000
744	9	Sol4	G4	296	296	1	4	833	95	96		90.250000
745	9	La4	A4	305	305	1	16	208	95	96		90.312500
746	9	Do5	C5	318	318	1	16	208	95	96		90.375000
747	9	Si4b2	B4b1	312	313	1	16	208	95	96		90.437500
748	11	La4	A4	305	305	1	16	208	95	96		90.500000
749	9	La4	A4	305	305	1	2	1667	95	96		91.000000
750	53			0	0	0	0	0	0	0		91.000000
