Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
102	9	Mi5	E5	336	336	3	8	1250	95	96		13.875000
103	9	Es	Es	-1	-1	1	8	417	100	0		14.000000
104	53			0	0	0	0	0	0	0		14.000000
105	9	La5	A5	358	358	1	16	208	95	96	TESLİM	14.062500
106	9	Si5b2	B5b1	365	366	1	16	208	95	96		14.125000
107	9	Do6	C6	371	371	1	4	833	95	96		14.375000
108	9	Si5b2	B5b1	365	366	1	16	208	95	96		14.437500
109	9	La5	A5	358	358	1	16	208	95	96		14.500000
110	9	La5	A5	358	358	3	16	625	95	96		14.687500
111	9	Sol5	G5	349	349	1	16	208	95	96		14.750000
112	9	Fa5	F5	340	340	1	16	208	95	96		14.812500
113	9	Mi5	E5	336	336	1	16	208	95	96		14.875000
114	9	Fa5	F5	340	340	1	8	417	95	96		15.000000
115	53			0	0	0	0	0	0	0		15.000000
116	9	Mi5	E5	336	336	1	16	208	95	96		15.062500
117	9	Fa5	F5	340	340	1	16	208	95	96		15.125000
118	9	Sol5	G5	349	349	1	4	833	95	96		15.375000
119	9	La5	A5	358	358	1	8	417	95	96		15.500000
120	9	Sol5	G5	349	349	1	8	417	95	96		15.625000
121	9	Fa5	F5	340	340	1	8	417	95	96		15.750000
122	9	Mi5	E5	336	336	1	8	417	95	96		15.875000
123	9	Re5	D5	327	327	1	8	417	95	96		16.000000
124	53			0	0	0	0	0	0	0		16.000000
125	9	Do5	C5	318	318	1	8	417	95	96		16.125000
126	9	Re5	D5	327	327	1	4	833	95	96		16.375000
127	9	Mi5	E5	336	336	1	8	417	95	96		16.500000
128	9	Re5	D5	327	327	1	8	417	95	96		16.625000
129	9	Mi5	E5	336	336	1	8	417	95	96		16.750000
130	9	Re5	D5	327	327	1	8	417	95	96		16.875000
131	9	Do5	C5	318	318	1	8	417	95	96		17.000000
132	9	Sol5	G5	349	349	1	8	417	95	96		17.125000
133	9	Fa5	F5	340	340	1	8	417	95	96		17.250000
134	9	Mi5	E5	336	336	1	8	417	95	96		17.375000
135	9	Re5	D5	327	327	1	8	417	95	96		17.500000
136	9	Re5	D5	327	327	1	16	208	95	96		17.562500
137	9	Do5	C5	318	318	1	16	208	95	96		17.625000
138	9	Do5	C5	318	318	1	16	208	95	96		17.687500
139	9	Si4b2	B4b1	312	313	1	16	208	95	96		17.750000
140	9	Do5	C5	318	318	1	4	833	95	96		18.000000
141	53			0	0	0	0	0	0	0		18.000000
142	9	Sol4	G4	296	296	1	8	417	95	96		18.125000
143	9	Do5	C5	318	318	1	4	833	95	96		18.375000
144	9	Re5	D5	327	327	1	8	417	95	96		18.500000
145	9	Mi5	E5	336	336	1	2	1667	95	96		19.000000
146	53			0	0	0	0	0	0	0		19.000000
147	9	Re5	D5	327	327	3	16	625	95	96		19.187500
148	9	Mi5	E5	336	336	1	16	208	95	96		19.250000
149	9	Fa5	F5	340	340	1	8	417	95	96		19.375000
150	9	Sol5	G5	349	349	1	8	417	95	96		19.500000
151	9	Mi5	E5	336	336	1	8	417	95	96		19.625000
152	9	Fa5	F5	340	340	1	8	417	95	96		19.750000
153	9	Re5	D5	327	327	1	8	417	95	96		19.875000
154	9	Mi5	E5	336	336	1	8	417	95	96		20.000000
155	9	Do5	C5	318	318	1	8	417	95	96		20.125000
156	9	Re5	D5	327	327	1	8	417	95	96		20.250000
157	9	Do5	C5	318	318	1	8	417	95	96		20.375000
158	9	Si4b2	B4b1	312	313	1	8	417	95	96		20.500000
159	9	Do5	C5	318	318	3	16	625	95	96		20.687500
160	9	Si4b2	B4b1	312	313	1	16	208	95	96		20.750000
161	9	La4	A4	305	305	1	4	833	95	96		21.000000
162	53			0	0	0	0	0	0	0		21.000000
163	9	Mi5	E5	336	336	1	16	208	95	96		21.062500
164	9	Fa5	F5	340	340	1	16	208	95	96		21.125000
165	9	Mi5	E5	336	336	1	16	208	95	96		21.187500
166	9	Fa5	F5	340	340	1	16	208	95	96		21.250000
167	9	La5	A5	358	358	1	16	208	95	96		21.312500
168	9	Sol5	G5	349	349	1	16	208	95	96		21.375000
169	9	Fa5	F5	340	340	1	16	208	95	96		21.437500
170	9	Mi5	E5	336	336	1	16	208	95	96		21.500000
171	9	Re5	D5	327	327	1	4	833	95	96		21.750000
172	9	Es	Es	-1	-1	1	4	833	100	0		22.000000
173	53			0	0	0	0	0	0	0		22.000000
174	9	Do5	C5	318	318	3	16	625	95	96		22.187500
175	9	Re5	D5	327	327	1	16	208	95	96		22.250000
176	9	Mi5	E5	336	336	1	4	833	95	96		22.500000
177	9	Re5	D5	327	327	1	16	208	95	96		22.562500
178	9	Mi5	E5	336	336	1	16	208	95	96		22.625000
179	9	Re5	D5	327	327	1	16	208	95	96		22.687500
180	9	Mi5	E5	336	336	1	16	208	95	96		22.750000
181	9	Sol5	G5	349	349	1	16	208	95	96		22.812500
182	9	Fa5	F5	340	340	1	16	208	95	96		22.875000
183	9	Mi5	E5	336	336	1	16	208	95	96		22.937500
184	9	Re5	D5	327	327	1	16	208	95	96		23.000000
185	9	Do5	C5	318	318	1	4	833	95	96		23.250000
186	9	Es	Es	-1	-1	1	4	833	100	0		23.500000
187	53			0	0	0	0	0	0	0		23.500000
188	9	Si4b2	B4b1	312	313	3	16	625	95	96		23.687500
189	9	Do5	C5	318	318	1	16	208	95	96		23.750000
190	9	Re5	D5	327	327	1	4	833	95	96		24.000000
191	9	Do5	C5	318	318	3	16	625	95	96		24.187500
192	9	Re5	D5	327	327	1	16	208	95	96		24.250000
193	9	Mi5	E5	336	336	1	8	417	95	96		24.375000
194	9	Re5	D5	327	327	1	16	208	95	96		24.437500
195	9	Do5	C5	318	318	1	16	208	95	96		24.500000
196	9	Si4b2	B4b1	312	313	1	8	417	95	96		24.625000
197	9	Do5	C5	318	318	1	8	417	95	96		24.750000
198	9	Re5	D5	327	327	1	8	417	95	96		24.875000
199	9	Do5	C5	318	318	1	16	208	95	96		24.937500
200	9	Si4b2	B4b1	312	313	1	16	208	95	96		25.000000
201	9	La4	A4	305	305	1	8	417	95	96		25.125000
202	9	Si4b2	B4b1	312	313	1	8	417	95	96		25.250000
203	9	Re5	D5	327	327	1	16	208	95	96		25.312500
204	9	Do5	C5	318	318	1	16	208	95	96		25.375000
205	9	Si4b2	B4b1	312	313	1	16	208	95	96		25.437500
206	9	La4	A4	305	305	1	16	208	95	96		25.500000
207	9	Sol4	G4	296	296	1	8	417	95	96		25.625000
208	9	La4	A4	305	305	1	8	417	95	96		25.750000
209	9	Si4b2	B4b1	312	313	1	8	417	95	96		25.875000
210	9	Do5	C5	318	318	1	8	417	95	96		26.000000
211	9	Re5	D5	327	327	3	16	625	95	96		26.187500
212	9	Do5	C5	318	318	1	16	208	95	96		26.250000
213	9	Si4b2	B4b1	312	313	1	8	417	95	96		26.375000
214	9	Do5	C5	318	318	1	8	417	95	96		26.500000
215	9	Si4b2	B4b1	312	313	1	4	833	95	96		26.750000
216	9	La4	A4	305	305	1	4	833	95	96		27.000000
217	9	Sol4	G4	296	296	1	4	833	95	96		27.250000
218	9	La4	A4	305	305	1	16	208	95	96		27.312500
219	9	Do5	C5	318	318	1	16	208	95	96		27.375000
220	9	Si4b2	B4b1	312	313	1	16	208	95	96		27.437500
221	11	La4	A4	305	305	1	16	208	95	96		27.500000
222	9	La4	A4	305	305	1	2	1667	95	96		28.000000
223	53			0	0	0	0	0	0	0		28.000000
224	9	Mi5	E5	336	336	1	8	417	95	96	2. HANE	28.125000
225	9	Fa5	F5	340	340	1	8	417	95	96		28.250000
226	9	Mi5	E5	336	336	1	8	417	95	96		28.375000
227	9	Re5	D5	327	327	1	8	417	95	96		28.500000
228	9	Do5#4	C5#4	322	322	1	8	417	95	96		28.625000
229	9	Re5	D5	327	327	1	8	417	95	96		28.750000
230	9	Mi5	E5	336	336	1	8	417	95	96		28.875000
231	9	Fa5#2	F5#1	342	341	1	8	417	95	96		29.000000
232	9	Re5	D5	327	327	1	8	417	95	96		29.125000
233	9	Sol5	G5	349	349	1	4	833	95	96		29.375000
234	9	Fa5#3	F5#4	343	344	1	16	208	95	96		29.437500
235	11	Mi5	E5	336	336	1	16	208	95	96		29.500000
236	9	Mi5	E5	336	336	1	2	1667	95	96		30.000000
237	53			0	0	0	0	0	0	0		30.000000
238	9	Fa5	F5	340	340	1	8	417	95	96		30.125000
239	9	Mi5	E5	336	336	1	8	417	95	96		30.250000
240	9	Fa5	F5	340	340	1	8	417	95	96		30.375000
241	9	Sol5	G5	349	349	1	8	417	95	96		30.500000
242	9	La5	A5	358	358	1	8	417	95	96		30.625000
243	9	Sol5	G5	349	349	1	8	417	95	96		30.750000
244	9	Fa5	F5	340	340	1	8	417	95	96		30.875000
245	9	Mi5	E5	336	336	1	8	417	95	96		31.000000
246	9	Sol5	G5	349	349	1	8	417	95	96		31.125000
247	9	Fa5	F5	340	340	1	8	417	95	96		31.250000
248	9	Mi5	E5	336	336	1	8	417	95	96		31.375000
249	9	Re5	D5	327	327	1	8	417	95	96		31.500000
250	9	Mi5	E5	336	336	3	16	625	95	96		31.687500
251	9	Re5	D5	327	327	1	16	208	95	96		31.750000
252	9	Do5	C5	318	318	1	4	833	95	96		32.000000
253	53			0	0	0	0	0	0	0		32.000000
254	9	Re5	D5	327	327	1	4	833	95	96		32.250000
